type,attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute8
Malahidiel,Red long stick,Light red pentagon era,Light orange black phonix eye,Golden the curly hair,Viole heart shaped mouth,Orange short nose,Cyan violet ellipse truncheon,
Adnachiel,Cyan long stick,Light black cat ear,Gray black willow eye,Golden points in the temples hair,Violet mouth,Cyan short nose,White dress cross necklace,Golden four winged
Barbiel,Deep pink earrings,Green pentagon era,Yellow brownness black round eye,Green braid hair,Viole heart shaped mouth,Cyan round nose,Blue clothing,Golden wing
Manuel,Pink necklace,Deep yellow elf ear,Cyan red black perch blossom eye,Black side swept fringe waves  hair,Deep red round mouth,Deep blue aquiline nose,Red dress cross necklace,Cyan two wing
Gabriel,Blue bar necklace,Deep red elf ear,Deep yellow black lifting eye,Violet arc bangs wave hair,Violet round mouth,Dark brownness round nose,White shield,White four winged
Felicia,Violet black,Green rabbit ear,Light red black willow eye,Violet the points bang waves  hair,Deep red mouth,Orange aquiline nose,White trident,White two wing
Ambiel,White green cat head band,Light red elf ear,Dark red black phonix eye,Brownness waves hair,Orange mouth,Black aquiline nose,White cross,Black  six wings
Danae,Green pendant,Cyan short ear,Yellow pink black perch blossom eye,Dark red the points bang waves  hair,Violet round mouth,Black short nose,Cyan dress cross necklace,White two wing
Verchiel,Golden yellow cat head band,Orange long ear,Light orange black willow eye,Black the vertical bun hair,Deep red mouth,Red aquiline nose,Golden preious stone necklace,Cyan wing
Manuel,Yellow black,Violet long ear,Cyan orange lifting eye,Violet braid hair,Black rectangle mouth,Orange pointed nose,Yellow semicircle truncheon,Violet wing
Zuriel,Violet butterfly head band,Light black cat ear,Cyan black lifting eye,White shawls hair,Orange mouth,Red round nose,Cyan V necklace,White wing
Danae,Cyan crown,Orange cat ear,Cyan brownness black rui cheng eye,Dark red waves hair,Black mouth,Cyan long nose,White shield,White wing
Gabriel,Cyan earrings,Orange bar type ear,Cyan violet black rui cheng eye,Green braid hair,Red heart shaped mouth,Deep orange aquiline nose,White ellipse truncheon,White six wings
Verchiel,Violet bar necklace,Green triangle ear,Yellow cyan  black perch blossom eye,Green the curly hair,Orange oval mouth,Green round nose,Deep cyan ellipse truncheon,
Zuriel,Golden hair clasp,Brownness  bar type ear,Deep red black willow eye,Green the curly hair,Brownness round mouth,Light orange pointed nose,Red trident,Golden four winged
Barbiel,Deep pink earrings,Cyan short ear,Yellow violet black round eye,Black arc bangs wave hair,Orange mouth,Light brownness round nose,Blue clothing,Golden four winged
Barbiel,Blue necklace,Green long ear,Yellow red black round eye,Dark red shawls hair,Red heart shaped mouth,Green round nose,Cyan cross,Cyan wing
Verchiel,Deep blue earrings,Brownness deer ear,Dark red black phonix eye,Green shawls hair,Yellow mouth,Orange short nose,Red clothing,
Adnachiel,Cyan black earring,Orange pentagon era,Yellow brownness black round eye,Black shoulder length hair,Deep red rectangle mouth,Black long nose,Red dress cross necklace,White wing
Verchiel,Green butterfly head band,Deep red short ear,Yellow blue black round eye,Brownness shoulder length hair,Black heart shaped mouth,Orange short nose,Cyan bar head,Golden four winged
Barbiel,Violet butterfly head band,Deep yellow cat ear,Deep yellow black lifting eye,Black braid hair,Black heart shaped mouth,Violet short nose,Cyan triangle necklace,Cyan wing
Barbiel,Cyan  hair clasp,Deep red pentagon era,Gray black willow eye,Dark red arc bangs wave hair,Light yellow heart shaped mouth,Pink aquiline nose,Golden clothing,Cyan four winged
Danae,Golden cloak,Violet elf ear,Yellow black litchi eye,Violet braid hair,Yellow mouth,Light brownness round nose,Red bar head,Golden wing
Michael,Cyan front lace wig,Light red long ear,Green  black willow eye,Cyan the curly hair,Orange heart shaped mouth,Black round nose,Cyan butterfly pattern necklace,Cyan four winged
Verchiel,Violet butterfly head band,Deep red deer ear,Cyan brownness black perch blossom eye,Golden the points bang waves  hair,Black mouth,Blue short nose,Cyan violet ellipse truncheon,Cyan wing
Danae,Violet bar necklace,Deep yellow short ear,Yellow brownness black perch blossom eye,Violet waves hair,Viole heart shaped mouth,Deep orange long nose,Golden preious stone necklace,Golden six wings
Malahidiel,Cyan long stick,Cyan rabbit ear,Light red black phonix eye,Dark red shawls hair,Violet oval mouth,Dark brownness round nose,Cyan preious stone necklace,Violet wing
Malahidiel,Violet cloak,Deep red long ear,Light orange litchi eye,Cyan short voume hair,Yellow mouth,Dark brownness round nose,,Cyan two wing
Manuel,Violet butterfly head band,Cyan elf ear,Cyan orange black perch blossom eye,Cyan arc bangs wave hair,Orange oval mouth,Green pointed nose,Red spear,
Haniel,Blue pendant,Brownness cat ear,Deep brownness black round eye,Violet shoulder length hair,Orange oval mouth,Deep orange pointed nose,Cyan saint sword,Violet two wing
Haniel,Cyan pendant,Light black long ear,Cyan black willow eye,Cyan long hair,Deep red mouth,Cyan aquiline nose,White shield,
Haniel,Cyan black cat head band,Orange deer ear,Yellow blue black round eye,Black long hair,Violet mouth,Blue pointed nose,Cyan yellow ellipse truncheon,White two wing
Verchiel,Deep blue earrings,Orange elf ear,Orange black phonix eye,Golden points in the temples hair,Yellow mouth,Light orange round nose,Red spear,Violet six wings
Adnachiel,Violet black,Violet short ear,Cyan red black rui cheng eye,Violet the curly hair,Black heart shaped mouth,Dark brownness round nose,Golden shield,Violet two wing
Hamaliel,Cyan butterfly head band,Light black long ear,Orange black phonix eye,Golden points in the temples hair,Orange round mouth,Deep red short nose,Cyan white ellipse truncheon,
Asmodel,Cyan necklace,Violet cat ear,Orange black willow eye,Brownness waves hair,Viole heart shaped mouth,Light brownness round nose,Cyan white ellipse truncheon,Violet wing
Ambiel,Cyan black cat head band,Deep yellow pentagon era,Cyan red black perch blossom eye,Green  the vertical bun hair,Yellow mouth,Cyan round nose,Cyan semicircle truncheon,Cyan  six wings
Adnachiel,Cyan long stick,Light black rabbit ear,Dark red black phonix eye,Dark red shawls hair,Red heart shaped mouth,Red round nose,Blue V necklace,Black  six wings
Adnachiel,Violet black,Violet short ear,Light orange black phonix eye,White points in the temples hair,Pink mouth,Deep orange pointed nose,Golden ellipse truncheon,Golden wing
Cassiel,Green round earring,Brownness deer ear,Orange black phonix eye,Brownness the points bang waves  hair,Orange oval mouth,Violet long nose,Deep cyan ellipse truncheon,Golden four winged
Asmodel,Blue hair clasp,Green  bar type ear,Green  black willow eye,Cyan waves hair,Light brownness round mouth,Light red round nose,Red butterfly pattern necklace,Violet four winged
Barbiel,Violet  hair clasp,Deep red rabbit ear,Cyan black willow eye,White the points bang waves  hair,Small orange mouth,Orange short nose,Blue bar head,
Hamaliel,Yellow earrings,Blue  bar type ear,Deep yellow black lifting eye,Cyan the points bang waves  hair,Brownness mouth,Light orange pointed nose,White clothing,White six wings
Danae,Golden wing cloak,Orange triangle ear,Cyan red black rui cheng eye,Black shawls hair,Pink mouth,Green pointed nose,Cyan ellipse truncheon,Golden two wing
Zuriel,Violet wing cloak,Deep yellow  bar type ear,Violet black willow eye,Dark red the points bang waves  hair,Deep red round mouth,Deep orange short nose,Violet ellipse truncheon,
Zuriel,Pink necklace,Brownness short ear,Deep cyan black lifting eye,Cyan the curly hair,Light yellow heart shaped mouth,Violet aquiline nose,Yellow ellipse truncheon,White wing
Felicia,Violet black,Blue short ear,Yellow violet black perch blossom eye,Violet side swept fringe waves  hair,Black round mouth,Blue pointed nose,Cyan white ellipse truncheon,Golden six wings
Gabriel,Cyan necklace,Deep yellow elf ear,Yellow red black perch blossom eye,White side swept fringe waves  hair,Light brownness round mouth,Cyan round nose,Violet semicircle truncheon,Violet wing
Danae,Violet wing cloak,Light black cat ear,Cyan orange black perch blossom eye,White short voume hair,Black heart shaped mouth,Blue round nose,White trident,Cyan  six wings
Verchiel,Violet bar necklace,Green deer ear,Deep red black willow eye,Green arc bangs wave hair,Yellow mouth,Light red round nose,Cyan violet ellipse truncheon,
Zuriel,Violet wing cloak,Cyan long ear,Cyan brownness black perch blossom eye,Green the curly hair,Viole heart shaped mouth,Cyan aquiline nose,White preious stone necklace,Violet four winged
Zuriel,Pink necklace,Green  bar type ear,Red black long and thin eye,Green long hair,Yellow mouth,Dark red round nose,Blue bar head,Violet two wing
Manuel,Yellow black,Brownness  bar type ear,Yellow green black perch blossom eye,Black braid hair,Black heart shaped mouth,Cyan aquiline nose,Red butterfly pattern necklace,
Gabriel,Cyan blue earrings,Light red long ear,Orange narrow eye,White the points bang waves  hair,Deep red round mouth,Deep orange aquiline nose,Yellow semicircle truncheon,Violet two wing
Danae,Golden wing cloak,Deep yellow triangle ear,Bright red black phonix eye,Black long hair,Viole heart shaped mouth,Violet long nose,Golden cross,White wing
Felicia,Yellow black,Light black  bar type ear,Yellow black litchi eye,Brownness shawls hair,Deep red mouth,Orange aquiline nose,Yellow ellipse truncheon,
Felicia,Cyan pendant,Light black pentagon era,Yellow blue black round eye,Violet shoulder length hair,Violet oval mouth,Violet short nose,Cyan cross,White four winged
Danae,Golden wing cloak,Brownness pentagon era,Deep red lifting eye,Golden points in the temples hair,Orange heart shaped mouth,Blue aquiline nose,White semicircle truncheon,Black  six wings
Cassiel,Cyan earrings,Deep red rabbit ear,Green  black willow eye,Golden side swept fringe waves  hair,Red mouth,Orange round nose,Blue saint sword,Cyan two wing
Gabriel,Cyan necklace,Violet elf ear,Cyan orange litchi eye,Dark red short voume hair,Viole heart shaped mouth,Red pointed nose,Red preious stone necklace,Golden wing
Felicia,Violet black,Blue pentagon era,Cyan violet black rui cheng eye,White waves hair,Orange heart shaped mouth,Deep orange aquiline nose,Red bar head,Violet six wings
Manuel,Pink pendant,Violet pentagon era,Yellow orang lifting eye,Golden long hair,Violet round mouth,Pink aquiline nose,White saint sword,White four winged
Barbiel,Cyan wing cloak,Green elf ear,Light orange litchi eye,Cyan arc bangs wave hair,Brownness round mouth,Orange pointed nose,Cyan cross,Cyan  six wings
Danae,Yellow necklace,Deep yellow cat ear,Cyan violet black perch blossom eye,Green  the vertical bun hair,Red heart shaped mouth,Deep red round nose,Blue V necklace,Cyan two wing
Cassiel,Red long stick,Blue pentagon era,Cyan brownness black perch blossom eye,Golden braid hair,Brownness mouth,Red pointed nose,Red shield,Violet six wings
Manuel,Pink necklace,Green cat ear,Light yellow orange black round eye,Cyan braid hair,Deep red rectangle mouth,Cyan long nose,White semicircle truncheon,Cyan wing
Manuel,Green pendant,Violet short ear,Deep orange black phonix eye,Cyan long hair,Small orange mouth,Orange round nose,Golden bar head,Violet two wing
Zuriel,Green black,Orange cat ear,Deep brownness black round eye,Brownness points in the temples hair,Violet round mouth,Blue aquiline nose,Blue butterfly pattern necklace,Cyan  six wings
Hamaliel,Green necklace,Brownness  bar type ear,Cyan brownness black perch blossom eye,Brownness the vertical bun hair,Black oval mouth,Pink short nose,Golden ellipse truncheon,Cyan four winged
Barbiel,Cyan crown,Violet short ear,Yellow black litchi eye,Cyan points in the temples hair,Rectangle mouth,Dark red round nose,Blue V necklace,Golden wing
Cassiel,White cyan authority,Light black long ear,Brownness black willow eye,Green the curly hair,Red mouth,Red short nose,Cyan clothing,Cyan wing
Ambiel,Yellow blue cat head band,Light black  bar type ear,Light golden black willow eye,Golden the vertical bun hair,Deep red rectangle mouth,Light red round nose,Blue clothing,Cyan two wing
Zuriel,Red helmet,Deep yellow pentagon era,Yellow violet black perch blossom eye,Dark red the points bang waves  hair,Black oval mouth,Deep orange pointed nose,Red dress cross necklace,White six wings
Asmodel,Light cyan bar necklace,Deep yellow deer ear,Yellow violet black round eye,Cyan the curly hair,Brownness round mouth,Deep orange long nose,White ellipse truncheon,
Danae,Violet  hair clasp,Deep red rabbit ear,Cyan yellow black rui cheng eye,White the vertical bun hair,Black oval mouth,Pink aquiline nose,Blue cross,White two wing
Barbiel,Cyan pink earrings,Violet cat ear,Orange black phonix eye,Black arc bangs wave hair ,Violet oval mouth,Deep blue aquiline nose,Cyan clothing,White six wings
Manuel,Green pendant,Deep red elf ear,Deep brownness black round eye,Black arc bangs wave hair,Red heart shaped mouth,Blue short nose,Red dress cross necklace,Violet six wings
Hamaliel,Green necklace,Deep red deer ear,Light cyan orange black rui cheng eye,Green short voume hair,Black round mouth,Blue short nose,Yellow ellipse truncheon,Golden six wings
Manuel,Yellow belt,Orange long ear,Orange narrow eye,Dark red long hair,Red mouth,Deep blue short nose,Blue clothing,Cyan wing
Hamaliel,Green butterfly head band,Deep red pentagon era,Red black long and thin eye,Dark red side swept fringe waves  hair,Black oval mouth,Brownness round nose,Blue preious stone necklace,Golden wing
Felicia,Red helmet,Brownness cat ear,Yellow gray black round eye,Green the points bang waves  hair,Deep red heart shaped mouth,Orange pointed nose,Golden preious stone necklace,Cyan four winged
Verchiel,Violet butterfly head band,Blue pentagon era,Cyan violet black perch blossom eye,Black long hair,Light brownness round mouth,Orange aquiline nose,Cyan V necklace,White six wings
Felicia,Blue long stick,Brownness long ear,Light golden black willow eye,Dark red braid hair,Black rectangle mouth,Light orange round nose,White bar head,Golden four winged
Cassiel,Green crown,Light black pentagon era,Yellow violet black round eye,Dark red shawls hair,Deep red rectangle mouth,Cyan short nose,Blue saint sword,Violet two wing
Barbiel,Cyan crown,Deep yellow deer ear,Cyan black phonix eye,Dark red short voume hair,Light yellow oval mouth,Cyan round nose,Blue butterfly pattern necklace,Cyan four winged
Adnachiel,Cyan earrings,Deep red  bar type ear,Cyan orange black rui cheng eye,Violet the curly hair,Violet mouth,Light red round nose,Cyan butterfly pattern necklace,Golden wing
Verchiel,Golden yellow cat head band,Brownness deer ear,Yellow black lifting eye,Green shawls hair,Red heart shaped mouth,Deep blue long nose,Golden spear,Cyan  six wings
Zuriel,Green black,Orange pentagon era,Light golden black willow eye,Dark red side swept fringe waves  hair,Rectangle mouth,Light orange pointed nose,White clothing,Violet six wings
Gabriel,Pink crown,Light black elf ear,Orange narrow eye,Golden side swept fringe waves  hair,Light yellow oval mouth,Deep red long nose,White spear,White two wing
Manuel,Pink pendant,Orange long ear,Green  black willow eye,Green shawls hair,Light yellow oval mouth,Cyan aquiline nose,Blue clothing,White four winged
Manuel,Violet butterfly head band,Cyan elf ear,Green black phonix eye,Cyan points in the temples hair,Black round mouth,Red round nose,White cross,Cyan wing
Hamaliel,Violet wing cloak,Deep red rabbit ear,Cyan orange lifting eye,Golden waves hair,Red heart shaped mouth,Light orange round nose,Red preious stone necklace,Violet wing
Ambiel,Violet  hair clasp,Blue triangle ear,Yellow black lifting eye,Brownness long hair,Brownness mouth,Red aquiline nose,Golden clothing,Golden two wing
Danae,Violet butterfly head band,Cyan triangle ear,Yellow brownness black round eye,Brownness braid hair,Black heart shaped mouth,Deep orange aquiline nose,Cyan saint sword,Black  six wings
Barbiel,Green round earring,Green rabbit ear,Light yellow black willow eye,White braid hair,Orange round mouth,Deep blue long nose,White trident,Cyan  six wings
Hamaliel,Cyan wing cloak,Violet long ear,Violet black willow eye,Green the points bang waves  hair,Rectangle mouth,Deep orange short nose,Red cross,White two wing
Gabriel,Blue black earring,Cyan triangle ear,Gray black willow eye,Violet the curly hair,Brownness mouth,Light orange round nose,Red cross,Golden wing
Cassiel,Red long stick,Light black cat ear,Bright red black phonix eye,Violet arc bangs wave hair,Violet oval mouth,Light orange pointed nose,Cyan violet ellipse truncheon,White wing
Michael,Green butterfly head band,Violet short ear,Yellow pink black perch blossom eye,Green  the vertical bun hair,Light yellow oval mouth,Pink short nose,Golden saint sword,Golden two wing
Michael,Yellow cyan earrings,Orange cat ear,Light red black phonix eye,Dark red points in the temples hair,Violet mouth,Deep blue aquiline nose,Red cross,White wing
Adnachiel,Yellow helmet,Light red  bar type ear,White orange litchi eye ,Black braid hair,Deep red rectangle mouth,Black long nose,Cyan V necklace,Violet two wing
Michael,Green necklace,Light black rabbit ear,Deep black lifting eye,Violet points in the temples hair,Deep red rectangle mouth,Orange pointed nose,Cyan violet ellipse truncheon,White four winged
Asmodel,Light cyan wing cloak,Blue rabbit ear,Yellow brownness black round eye,Violet shawls hair,Orange mouth,Red short nose,Golden shield,
Gabriel,White cyan authority,Green rabbit ear,Yellow blue black round eye,Brownness long hair,Brownness mouth,Deep orange short nose,Blue saint sword,Cyan wing
Haniel,Cyan pendant,Light red rabbit ear,Light red black phonix eye,White the vertical bun hair,Black round mouth,Black long nose,Blue saint sword,Violet six wings
Verchiel,Golden yellow cat head band,Orange rabbit ear,Green  black willow eye,Brownness shoulder length hair,Orange mouth,Green pointed nose,Yellow ellipse truncheon,Golden wing
Asmodel,Violet  hair clasp,Cyan elf ear,Bright red black phonix eye,Brownness the vertical bun hair,Violet oval mouth,Green pointed nose,Golden bar head,
Malahidiel,Cyan black cat head band,Brownness  bar type ear,Green black phonix eye,Green  the vertical bun hair,Orange oval mouth,Cyan aquiline nose,Blue V necklace,Violet six wings
Ambiel,Blue crown,Deep yellow deer ear,Green black long and thin eye,Green long hair,Violet round mouth,Deep orange long nose,White V necklace,Cyan two wing
Barbiel,Violet butterfly head band,Deep yellow cat ear,Cyan red black rui cheng eye,Green short voume hair,Deep red rectangle mouth,Brownness round nose,Golden V necklace,Cyan  six wings
Felicia,Yellow black earring,Light red  bar type ear,Deep red black willow eye,Black short voume hair,Rectangle mouth,Dark brownness round nose,Blue dress cross necklace,Golden two wing
Gabriel,Cyan blue earrings,Cyan rabbit ear,Cyan golden black rui cheng eye,Violet the curly hair,Brownness round mouth,Orange pointed nose,Blue saint sword,Golden six wings
Barbiel,Yellow belt,Green triangle ear,Deep brownness black round eye,Golden arc bangs wave hair,Brownness round mouth,Deep orange aquiline nose,Golden semicircle truncheon,
Cassiel,Red long stick,Green short ear,Green  black willow eye,Cyan braid hair,Deep red heart shaped mouth,Red long nose,Blue clothing,White two wing
Manuel,Yellow belt,Orange rabbit ear,Deep brownness black round eye,White the curly hair,Brownness mouth,Orange pointed nose,Blue clothing,Golden two wing
Gabriel,Cyan front lace wig,Cyan long ear,Yellow orange black perch blossom eye,Brownness arc bangs wave hair,Orange heart shaped mouth,Deep blue long nose,Cyan white ellipse truncheon,Violet wing
Haniel,Golden cloak,Green long ear,Cyan brownness black rui cheng eye,Dark red shoulder length hair,Pink mouth,Deep blue long nose,Violet ellipse truncheon,Golden six wings
Asmodel,Blue cloak,Light black triangle ear,Violet black willow eye,Green shawls hair,Black round mouth,Red short nose,Violet semicircle truncheon,White wing
Verchiel,Cyan crown,Cyan pentagon era,Cyan golden black rui cheng eye,Violet the points bang waves  hair,Deep red round mouth,Light brownness round nose,Red dress cross necklace,Cyan wing
Malahidiel,Cyan pink earrings,Blue triangle ear,Light cyan orange black rui cheng eye,Violet short voume hair,Orange round mouth,Deep blue short nose,Red dress cross necklace,Golden wing
Asmodel,Golden butterfly head band,Violet long ear,Dark red black phonix eye,Golden long hair,Orange round mouth,Deep blue aquiline nose,Cyan preious stone necklace,
Barbiel,Cyan  hair clasp,Deep red pentagon era,White orange litchi eye,Violet side swept fringe waves  hair,Viole heart shaped mouth,Violet short nose,White spear,
Cassiel,Red long stick,Green long ear,Red black phonix eye,Violet the vertical bun hair,Light yellow heart shaped mouth,Pink aquiline nose,Cyan yellow ellipse truncheon,White four winged
Adnachiel,Violet black,Blue long ear,Deep red lifting eye,Green the points bang waves  hair,Brownness round mouth,Black round nose,Blue trident,Cyan  six wings
Hamaliel,Golden crown,Orange short ear,Cyan orange litchi eye,Black side swept fringe waves  hair,Orange oval mouth,Black aquiline nose,Blue clothing,White six wings
Danae,Violet wing cloak,Light black cat ear,Green black long and thin eye,Brownness arc bangs wave hair,Orange mouth,Light red round nose,Red preious stone necklace,
Felicia,Deep green earrings,Deep red long ear,Light orange litchi eye,Cyan side swept fringe waves  hair,Deep red mouth,Deep blue long nose,Cyan semicircle truncheon,
Michael,Cyan front lace wig,Brownness deer ear,Light orange litchi eye,Brownness the points bang waves  hair,Rectangle mouth,Red aquiline nose,,
Michael,White cyan authority,Light red  cat ear,Yellow green black perch blossom eye,White side swept fringe waves  hair,Violet mouth,Deep blue short nose,Red shield,Cyan wing
Asmodel,Blue cloak,Blue deer ear,Light orange litchi eye,Golden long hair,Brownness mouth,Deep red long nose,Blue cross,Violet wing
Verchiel,Cyan crown,Brownness  bar type ear,Cyan violet black perch blossom eye,White shoulder length hair,Violet oval mouth,Green pointed nose,Blue trident,White six wings
Michael,Green necklace,Brownnesself ear,Yellow orange black perch blossom eye,Green braid hair,Brownness round mouth,Blue pointed nose,Cyan saint sword,Cyan four winged
Malahidiel,Cyan black cat head band,Light black cat ear,Cyan orange litchi eye,Black short voume hair,Violet mouth,Deep orange long nose,Violet ellipse truncheon,Violet four winged
Verchiel,Green butterfly head band,Deep red short ear,White orange litchi eye ,Violet shoulder length hair,Orange round mouth,Red pointed nose,Violet ellipse truncheon,Violet two wing
Haniel,Green pendant,Cyan elf ear,Bright red black phonix eye,Green the curly hair,Orange round mouth,Black aquiline nose,Cyan cross,Golden six wings
Felicia,Yellow black,Deep yellow long ear,Cyan yellow black rui cheng eye,Brownness the curly hair,Deep red oval mouth,Blue round nose,Cyan cross,Cyan four winged
Adnachiel,Violet black,Orange long ear,Light yellow orange black round eye,Green braid hair,Deep red round mouth,Red aquiline nose,Golden ellipse truncheon,Golden six wings
Zuriel,Yellow pendant,Deep yellow deer ear,Light cyan orange black rui cheng eye,Black the curly hair,Light yellow oval mouth,Deep orange aquiline nose,Yellow ellipse truncheon,Violet four winged
Asmodel,Blue hair clasp,Light black triangle ear,Deep brownness black round eye,White side swept fringe waves  hair,Deep red heart shaped mouth,Light brownness round nose,Cyan V necklace,Violet four winged
Danae,Yellow blue cat head band,Brownness rabbit ear,Light orange black phonix eye,Black the curly hair,Orange heart shaped mouth,Pink aquiline nose,Golden ellipse truncheon,White wing
Haniel,Blue pendant,Brownness cat ear,Violet black willow eye,Green shawls hair,Violet round mouth,Deep orange aquiline nose,Cyan white ellipse truncheon,Golden wing
Danae,Violet  hair clasp,Deep yellow rabbit ear ,Yellow pink black perch blossom eye,Black the curly hair,Deep red round mouth,Deep blue aquiline nose,White spear,Violet four winged
Manuel,Cyan black cat head band,Light black elf ear,Yellow pink black perch blossom eye,Green shoulder length hair,Violet oval mouth,Cyan short nose,Cyan preious stone necklace,Black  six wings
Danae,Violet wing cloak,Light black cat ear,Light red black phonix eye,White the points bang waves  hair,Light yellow heart shaped mouth,Blue short nose,Golden shield,Golden two wing
Cassiel,Cyan earrings,Light red long ear,Cyan black litchi eye,Green  waves hair,Deep red heart shaped mouth,Cyan aquiline nose,White dress cross necklace,White six wings
Asmodel,Blue bar necklace,Light black elf ear,Yellow orang lifting eye,Brownness shawls hair,Yellow mouth,Deep orange pointed nose,Golden ellipse truncheon,Violet two wing
Verchiel,Cyan pink earrings,Light red  bar type ear,Green black long and thin eye,Black the vertical bun hair,Deep red rectangle mouth,Cyan short nose,White butterfly pattern necklace,Golden four winged
Haniel,Green necklace,Green rabbit ear,Orange black phonix eye,Violet shawls hair,Red mouth,Black short nose,Golden trident,
Verchiel,Yellow green authority,Deep yellow long ear,Light yellow orange black round eye,White short voume hair,Violet oval mouth,Dark red round nose,Cyan cross,White six wings
Ambiel,Violet  hair clasp,Deep yellow short ear,Cyan black willow eye,Golden short voume hair,Black mouth,Light orange pointed nose,,Golden two wing
Adnachiel,Violet cloak,Brownness short ear,Cyan violet black perch blossom eye,White the vertical bun hair,Pink mouth,Light brownness round nose,White ellipse truncheon,Cyan two wing
Barbiel,Red helmet,Orange elf ear,Deep black litchi eye,Cyan shawls hair,Pink mouth,Pink long nose,Golden trident,
Manuel,Yellow belt,Light red deer ear ,Orange black phonix eye,Black the points bang waves  hair,Black mouth,Deep blue aquiline nose,Red dress cross necklace,Violet wing
Ambiel,Yellow blue cat head band,Light black  bar type ear,Light golden black willow eye,White points in the temples hair,Black rectangle mouth,Black long nose,White cross,Golden wing
Gabriel,Cyan front lace wig,Brownness deer ear,Cyan orange lifting eye,Cyan shawls hair,Light brownness round mouth,Deep orange aquiline nose,White ellipse truncheon,Cyan four winged
Michael,Green earrings,Deep red pentagon era,Blue black phonix eye,White waves hair,Black rectangle mouth,Deep blue short nose,White butterfly pattern necklace,
Ambiel,Yellow black,Light red triangle ear,Red black long and thin eye,White shoulder length hair,Deep red rectangle mouth,Violet aquiline nose,Blue spear,White four winged
Verchiel,Deep blue earrings,Violet rabbit ear,Yellow violet black perch blossom eye,Green  the vertical bun hair,Deep red mouth,Red aquiline nose,White triangle necklace,Violet six wings
Verchiel,Deep blue earrings,Orange cat ear,Dark red black phonix eye,White waves hair,Orange round mouth,Orange short nose,Red saint sword,Golden six wings
Ambiel,White cyan authority,Light red  cat ear,Yellow orange litchi eye,Violet long hair,Black mouth,Cyan round nose,Violet ellipse truncheon,Violet six wings
Verchiel,Golden yellow cat head band,Blue pentagon era,Yellow black litchi eye,Cyan points in the temples hair,Black round mouth,Cyan long nose,Cyan clothing,White wing
Barbiel,Violet  hair clasp,Light red  bar type ear,Cyan red black rui cheng eye,Dark red the vertical bun hair,Small orange mouth,Pink short nose,White clothing,Golden two wing
Asmodel,Blue bar necklace,Blue pentagon era,Yellow green black perch blossom eye,Green shoulder length hair,Deep red mouth,Deep red short nose,Cyan ellipse truncheon,White two wing
Malahidiel,Cyan bar necklace,Orange triangle ear,Cyan black lifting eye,Dark red shoulder length hair,Orange round mouth,Deep orange long nose,Cyan yellow ellipse truncheon,Golden six wings
Adnachiel,Yellow helmet,Orange pentagon era,Light golden black willow eye,Golden shoulder length hair,Orange round mouth,Deep blue long nose,Cyan trident,
Felicia,Yellow earrings,Blue short ear,Cyan brownness black rui cheng eye,Dark red shoulder length hair,Red heart shaped mouth,Orange short nose,Blue cross,Black  six wings
Felicia,Blue long stick,Violet long ear,Light cyan orange black rui cheng eye,Green  waves hair,Black heart shaped mouth,Orange pointed nose,Red cross,Violet wing
Barbiel,Cyan crown,Light red short ear,Cyan black willow eye,Brownness points in the temples hair,Light yellow heart shaped mouth,Deep red round nose,Red trident,Violet two wing
Ambiel,Blue round earring,Deep red  bar type ear,Yellow orange black round eye,Violet long hair,Black mouth,Deep red long nose,White cross,
Felicia,Yellow earrings,Light black cat ear,Cyan red black rui cheng eye,Violet the curly hair,Red heart shaped mouth,Violet pointed nose,Red dress cross necklace,Golden two wing
Felicia,Yellow black earring,Deep yellow  bar type ear,Deep brownness black round eye,Brownness the vertical bun hair,Black heart shaped mouth,Black long nose,Blue saint sword,Cyan two wing
Felicia,Yellow blue cat head band,Cyan triangle ear,Yellow violet black perch blossom eye,Cyan the vertical bun hair,Violet round mouth,Violet short nose,Blue saint sword,
Gabriel,Yellow helmet,Light black long ear,Cyan black willow eye,Cyan short voume hair,Black round mouth,Deep orange aquiline nose,Golden dress cross necklace,Violet six wings
Ambiel,Yellow black,Blue pentagon era,Cyan brownness black rui cheng eye,Green  the vertical bun hair,Black heart shaped mouth,Dark red round nose,Cyan violet ellipse truncheon,Cyan  six wings
Adnachiel,Cyan black earring,Brownness pentagon era,Deep red black willow eye,Cyan the points bang waves  hair,Orange round mouth,Orange pointed nose,Golden trident,White wing
Cassiel,yellow round earring,Cyan cat ear,Bright red black phonix eye,White braid hair,Black rectangle mouth,Deep blue long nose,Cyan cross,Golden four winged
Zuriel,Yellow earrings,Light black rabbit ear,Light orange black willow eye,Violet shoulder length hair,Deep red rectangle mouth,Violet pointed nose,White trident,Golden wing
Gabriel,Cyan necklace,Light red  bar type ear,Cyan brownness black rui cheng eye,Green braid hair,Black oval mouth,Green round nose,Golden ellipse truncheon,Violet four winged
Felicia,Violet black,Blue short ear,Cyan black litchi eye,Violet shawls hair,Yellow mouth,Blue long nose,Red preious stone necklace,Violet wing
Verchiel,Blue wing cloak,Orange bar type ear,Deep brownness black round eye,Green shoulder length hair,Deep red oval mouth,Deep orange short nose,Golden preious stone necklace,Black  six wings
