type,       attribute1,   attribute2,"	attribute3","	attribute4","	attribute5"
Magpie,Brow hat,Black eye&orange long eyebrow,Black broken,Deep Blue triangle Mouth,Black trapeziod wing  
Swallow,Pink necklace,Black purple eye&long eyebrow,Red short hair,Blue small Mouth,Violet tooth profine wing
Seagull,Brow hat,Black eye&long black eyebrow,Red airplane,Black long Mouth,Orange white sector wing
Pigeon,Gray black Hat,Cyan eye&dark red eyebrow,Pink long hair,Light orange Mouth,Violet tooth profine wing
Chick,Violet square glasses,Blue eye&blue eyebrows,Blue broken,Black orange black Mouth,White gray wing
Turkey,Blue trapezoid  Hat,Small black eye&orange round eyebrow,Black yellow hair,Orange polygon  Mouth,Gray rhomboid wing
Aurora,Blue trapezoid  Hat,Black white eye&long eyebrow,Above color crown,Black orange black Mouth,Violetv wing
Frigate Bird,Orange black  Hat,Cyan black eye&long eyebrow,Blue short hair,Red short Mouth,Red rhomboid wing
Magpie,Blue black round glasses,Orange eye& eyCambridge blue eyebrow,Pink long hair,Light blue short Mouth,Blue tooth profine wing
Bullfinch,Dark blue  square glasses,Black purple eye&long eyebrow,Blue broken,Gray triangle Mouth,Blue tooth profine wing
Crow,Dark red black glasses,Small black eye&orange round eyebrow,Pink broken,Depp red triangle Mouth, Dark violet front shape wing
Turkey,Violet black  Hat,Black eye&orange eyebrow,Yellow Curly,Depp red triangle Mouth,Pink  violet sector wing
Wild Goose,Black cyan Hat,Black eye&deep orange eyebrow,Green crown,Golden big Mouth,Colours front shape wing
Hornbill,Blue square glasses,Cyan black eye&long eyebrow,Plae yellow braid,Pale yellow triangle  Mouth,Blue cyan wing
Wild Goose,Red black pentagon glasses,Black eye&rectangle eyebrow,Black red hair,Black yellow long Mouth,Cyan trapeziod wing 
Penguin,Violet round glasses,Cambridge blue eye&pink eyebrow,Cyan short hair,Gray triangle Mouth,Orange triangle  wing
Turkey,Pink necklace,Black eye&pink eyebrow,Red yellow crown,Black triangle small Mouth,White black rhomboid wing
Zebra Finch,Black rectangle glasses,Black cyan eye&long eyebrow,Blue punk,Get black triangle Mouth,Red wing
Hawk,Deep orange black round hat,Black eye&round eyebrow,Orange long hair,Golden triangle small Mouth,Red front shape wing 
Swan,Blue round glasses,Orange eye& eyCambridge blue eyebrow,Pink short hair,Orange quadrangle Mouth,Yellow rhomboid wing
Magpie,Deep blue Hat,Cambridge blue eye&black long eyebrow,Black short hair,Blue small Mouth,Red trapeziod wing 
Flamingo,Black cyan Hat,Blue eye&blue eyebrows,Yellow braid,Black yellow long Mouth,White sector wing
Swan,Blue black triangle glasses,Blue eye&blue eyebrows,Green braid,Orange triangle Mouth,Red trapeziod wing 
Petrel,Black arch Hat,Light cyan  eye&orange long eyebrow,Blue punk,Red triangle small Mouth,Cyan trapeziod wing 
Pigeon,Violet round glasses,Black eye&orange eyebrow,Pink middle parting,Orange long Mouth,Gray rhomboid wing
Flamingo,Orange round glasses,Big black eye&orange eyebrow,Light cyan shorthair,Gray big Mouth,Gray trapeziod wing 
Swan,Deep gray  round Hat,Black eye&round black eyebrow,Orange hairdo,Black yellow Mouth,Colours wing 
Frigate Bird,Rainbow trapezoid  Hat,Cyan black eye&long eyebrow,Plae yellow braid,Blue small Mouth,Orange white sector wing
Crow,Cambridge blue square glasses,Cambridge blue eye&black long eyebrow,Red punk,Orange quadrangle Mouth,Light cyan front shape wing
Petrel,Black white Hat,Big black eye&long eyebrow,Red airplane,Orange small Mouth,Orange trapeziod wing 
Duck,Violet red polygon Hat,Black eye&round eyebrow,Pink middle parting,Red triangle Mouth,Orange white sector wing
Bullfinch,Orange black white round Hat,Black eye&round eyebrow,Black red hair,Black orange small Mouth,Violetv wing
Seagull,Blue Hat,Small black eye&red long eyebrow,Pink broken,Deep Orange square Mouth,Agree trapeziod wing  
Frigate Bird,Orange black  Hat,Small black eye&orange  eyebrow,Plae yellow braid,Gray big Mouth,Gray rhomboid wing
Oriole,Red black round glasses,Black red eye&A round eyebrow,Light cyan hair,Black orange long Mouth,Red front shape wing 
Swallow,Light cyan necklace,Cambridge blue eye&black long eyebrow,Golden airplane,Black Mouth,Orange yellow wing
Seagull,Orange yellow Hat,Black eye&orange eyebrow,Cyan Curly,Gray triangle Mouth,Violet tooth profine wing
Hornbill,Blue trapezoid  Hat,Cambridge blue eye&pink eyebrow,Blue punk,Golden square Mouth,Black rhomboid wing
Swan,Deep blue mesh cap,Pink black eye&long eyebrow,Green braid,Black yellow Mouth,Blue rhomboid wing
Oriole,Yellow Hat,Black eye&jet black eyebrow,Green braid,Golden quadrangle  Mouth,Red rhomboid wing
Pigeon,Blue flat Hat,Red eye&black eyebrow,Black yellow hair,Golden big Mouth,Yellow rhomboid wing
Hornbill,Dark black round Hat,Jet black eye&long eyebrow,Orange long hair,Blue Naroon,Agree wing
Vulture,Pink triangle Hat,Black eye&long eyebrow,Black yellow hair,Golden square Mouth,White black rhomboid wing
Turkey,Black white Hat,Black eye&jet black eyebrow,Yellow Curly,Light blue short Mouth, Dark violet front shape wing
Flamingo,Black white necklace,Black eye&Black eyebrow,Green braid,Red triangle small Mouth,Dark cyan wing 
Vulture,Colous pentagon glasses,Blue black eye&long eyebrow,Black long hair,Blue black Mouth,Blue tooth profine wing
Swallow,Orange yellow round Hat,White eye&black long eyebrow,Blue short hair,Orange triangle small Mouth,Red front shape wing 
Hornbill,Green Hat,Black eye&long black eyebrow,Blue broken,Deep yellow triangle  Mouth,White gray wing
Pigeon,Black necklace,Cambridge blue eye&pink eyebrow,Cyan Curly,Gray big Mouth,Orange trapeziod wing 
Swan,Orange square glasses,Small black eye&black long eyebrow,Blue Curly,Blue triangle  Mouth,Cyan yellow sector wing
Wild Goose,Pink red round Hat,black orange eye&long eyebrow,Blue Curly,Orange triangle Mouth,Violet front shape wing
Hornbill,Violet round glasses,Black white eye&long eyebrow,Pink long hair,Orange triangle small Mouth,Yellow rhomboid wing
Pigeon,Dark blue rectangle glasses,Black cyan eye&long eyebrow,Blue punk,Orange square Mouth,Grey violet sector wing
Vulture,Orange yellow round Hat,Big black eye&long eyebrow,Blue broken,Light orange short Mouth,Gray rhomboid wing
Hornbill,Dark black round Hat,Cambridge blue eye&pink eyebrow,Black broken,Orange polygon  Mouth,Orange rhomboid wing
Magpie,Blue black triangle glasses,Black eye&round black eyebrow,Pink long hair,Orange square Mouth,Agree sector wing
Oriole,Blue triangle Hat,Black eye&round eyebrow,Yellow braid,Black yellow long Mouth,Agree sector wing
Oriole,Red black triangle glasses,White eye&Black eyebrow,Cyan Curly,Red triangle small Mouth,Dark blue cyan wing
Oriole,Red black triangle glasses,Big black eye&black long eyebrow,Red yellow crown,Black orange long Mouth,Dark cyan wing 
Frigate Bird,Orange square glasses,Light cyan eye&orange eyebrow,Black broken,Gray big Mouth,Yellow agree front shape wing 
Bullfinch,Blue black round glasses,Light cyan eye&pink eyebrow,Plae yellow braid,Orange Mouth,Black rhomboid wing
Swan,Black cyan Hat,Small black eye&orange round eyebrow,Blue long hair,Red triangle small Mouth,Dark Colours wing
Kingfisher,orange perked cap,Black eye&orange long eyebrow,Black yellow hair,Black yellow Mouth,Iridescence wing
Seagull,Brow hat,Big black eye&long eyebrow,Cyan Curly,Orange polygon  Mouth,Violet rhomboid wing
Zebra Finch,Orange yellow round glasses,Black eye&orange eyebrow,Orange hairdo,Golden square Mouth,Violet trapeziod wing 
Hornbill,Black pink Hat,Small black eye&long eyebrow,Red Curly,Blue black Mouth,Colours tooth profine wing
Penguin,Blue round glasses,Light cyan eye&pink eyebrow,Black yellow hair,Black orange long Mouth,Red wing
Turkey,Violet black  Hat,Light cyan eye&orange eyebrow,Blue punk,Light orange short Mouth,White black rhomboid wing
Crow,Deep blue polygon Hat,Cambridge blue eye&black long eyebrow,Pink middle parting,Gray Mouth,Blue rhomboid wing
Pigeon,Black blue Hat,Small black eye&red long eyebrow,Light cyan hair,Light blue short Mouth,Gray rhomboid wing
Hummingbird,Orange black  Hat,Black eye&deep orange eyebrow,Orange middle parting,Orange triangle big Mouth,Colours wing 
Hornbill,Dark blue  square glasses,Cambridge blue eye&black long eyebrow,Cyan punk,Pale red Mouth,Cyan trapeziod wing 
Chick,Violet square glasses,Small black eye&orange round eyebrow,Black broken,Light blue short Mouth,Agree trapeziod wing  
Duck,Brow hat,Black eye&long black eyebrow,Black yellow hair,Light orange Mouth,Yellow agree trapeziod wing
Magpie,Dark blue headset,Small black eye&long eyebrow,Orange short hair,Orange square Mouth,Agree trapeziod wing  
Turkey,Blue trapezoid  Hat,Black eye&orange eyebrow,Blue punk,Get black triangle Mouth,Colours tooth profine wing
Chick,Dark black triangle glasses,Black eye&orange eyebrow,Cyan punk,Black red long Mouth,Agree wing
Duck,White square glasses,Big black eye&black long eyebrow,Cyan short hair,Golden quadrangle  Mouth,Blue rhomboid wing
Zebra Finch,Orange yellow round Hat,Black eye&pink eyebrow,Pink long hair,Orange quadrangle Mouth,Violet front shape wing
Zebra Finch,Black triangle glasses,Cyan eye&dark red eyebrow,Orange middle parting,Black triangle small Mouth,Red front shape wing 
Swan,Deep gray  round Hat,Black red eye&A round eyebrow,Cyan Curly,Get black triangle Mouth,Agree trapeziod wing  
Pigeon,Black blue Hat,Cambridge blue eye&black long eyebrow,Red short hair,Red triangle small Mouth,Yellow tooth profine wing
Hummingbird,Orange black polygon Hat,Small black eye&orange round eyebrow,Blue long hair,Deep Orange square Mouth,Dark blue cyan wing
Hornbill,Deep orange black round hat,Cyan eye&dark red eyebrow,Light cyan hair,Orange polygon  Mouth,White gray wing
Pigeon,Pink triangle Hat,Light cyan eye&orange eyebrow,Orange middle parting,Orange triangle Mouth,Violet front shape wing
Oriole,Blue triangle Hat,Black eye&long black eyebrow,Red airplane,Deep yellow triangle  Mouth,Red sector wing
Chick,Dark black triangle glasses,Small black eye&orange round eyebrow,Pink broken,Orange short Mouth,Dark red wing 
Bullfinch,Dark blue  square glasses,Cambridge blue eye&black long eyebrow,Red yellow crown,Pale red Mouth,Violet trapeziod wing 
Crow,Green Hat,Light cyan  eye&orange long eyebrow,Black short hair,Orange triangle small Mouth,Red wing
Pelican,Green Hat,Jet black eye&long eyebrow,Orange middle parting,Black yellow Mouth,Cyan yellow sector wing
Duck,Blue triangle Hat,Blue eye&blue eyebrows,Green crown,Light yellow short Mouth,Grey violet sector wing
Oriole,Black necklace,Black eye&pink eyebrow,Pink Curly,Orange triangle small Mouth,White black rhomboid wing
Penguin,Violet round glasses,Jet black eye&long eyebrow,Above color crown,Golden square Mouth,Agree wing
Swan,Pink red round Hat,Jet black eye&long eyebrow,Black short hair,Blue Naroon,Colours trapeziod wing 
Seagull,Deep blue mesh cap,Big black eye&black long eyebrow,Blue broken,Deep Orange square Mouth,Blue tooth profine wing
Frigate Bird,Deep blue trapezoid Hat,black orange eye&long eyebrow,Blue Curly,Black triangle small Mouth,Colours trapeziod wing 
Duck,Orange yellow square Hat,Small black eye&long eyebrow,Red punk,Deep orange triangle  Mouth,Light cyan front shape wing
Oriole,Red black quadrangle Hat,Small black eye&red long eyebrow,Green braid,Golden polygon Mouth,Yellow trapeziod wing 
Frigate Bird,Black triangle glasses,Cyan black eye&long eyebrow,Green crown,Light orange Mouth,Colours sector wing
Petrel,Red black quadrangle Hat,Small black eye&orange round eyebrow,Pink long hair,Orange polygon  Mouth,Dark red wing 
Duck,Blue flat Hat,Black eye&long eyebrow,Cyan Curly,Orange polygon  Mouth,Red sector wing
Hummingbird,Yellow quadrangle Hat,Big black eye&orange eyebrow,Blue short hair,Black triangle small Mouth,Red front shape wing 
Penguin,Black white square glasses,Black eye&pink eyebrow,Light cyan hair,Golden triangle Mouth, Dark violet front shape wing
Hornbill,Orange yellow round Hat,Light cyan eye&pink eyebrow,Light cyan shorthair,Black triangle small Mouth,Colours trapeziod wing 
Petrel,Black white Hat,Light cyan eye&orange eyebrow,Cyan short hair,Get black triangle Mouth,Blue tooth profine wing
Penguin,Dark orange necklace,Orange eye& eyCambridge blue eyebrow,Blue hairdo,Black triangle small Mouth,Blue front shape wing 
Bullfinch,Orange round glasses,Small black eye&orange  eyebrow,Yellow braid,Deep Blue triangle Mouth,Red trapeziod wing 
Pelican,Black white square glasses,Blue black eye&long eyebrow,Black long hair,Orange polygon  Mouth,Red front shape wing 
Hummingbird,Orange black  Hat,White eye&Black eyebrow,Light cyan hair,Light yellow short Mouth,Black trapeziod wing  
Hummingbird,Orange black  Hat,Black eye&deep orange eyebrow,Pink middle parting,Black orange long Mouth,Colours wing 
Chick,Orange black white round Hat,Black eye&long eyebrow,Yellow braid,Red short Mouth,Orange triangle  wing
Petrel,Black white Hat,Small black eye&orange round eyebrow,Above color crown,Orange long Mouth,Blue rhomboid wing
Wild Goose,Red black pentagon glasses,Black eye&round eyebrow,Orange middle parting,Gray big Mouth,Pink wing 
Crow,Blue black round glasses,Small black eye&black long eyebrow,Pink Curly,Deep yellow triangle  Mouth,Black rhomboid wing
Penguin,Orange headset,Black eye&long eyebrow,Orange long hair,Golden triangle Mouth,Yellow trapeziod wing 
Magpie,Brow hat,Cyan black eye&long eyebrow,Blue Curly,Pale gold Palegreen,Blue tooth profine wing
Swallow,Yellow quadrangle Hat,Orange eye& eyCambridge blue eyebrow,Above color crown,Black yellow long Mouth,Blue tooth profine wing
Pigeon,Orange yellow Hat,White eye&Black eyebrow,Orange short hair,Blue small Mouth,Colours trapeziod wing 
Duck,White square glasses,Black eye&long eyebrow,Yellow Curly,Black red long Mouth,Colours wing 
Zebra Finch,Dark black pentagon glasses,White eye&black long eyebrow,Blue short hair,Orange small Mouth,Dark blue cyan wing
Chick,Black rectangle glasses,Black eye&jet black eyebrow,Light cyan shorthair,Orange polygon  Mouth,Dark cyan wing 
Wild Goose,Orange round glasses,Black eye&yellow eyebrow,Red hairdo,Black yellow long Mouth,Pink  violet sector wing
Wild Goose,Black pink Hat,Jet black eye&long eyebrow,Above color crown,Light yellow short Mouth,Light cyan front shape wing
Swallow,Pink square glasses,Black eye&round black eyebrow,Blue broken,Orange long Mouth,Cyan trapeziod wing 
Penguin,Pink headset,Red eye&black eyebrow,Red hairdo,Orange polygon  Mouth,Light cyan front shape wing
Crow,Cambridge blue square glasses,Black eye&round eyebrow,Pink middle parting,Golden quadrangle  Mouth,Khaki front shape wing
Vulture,Deep purplepentagon glasses,Black eye&round black eyebrow,Blue long hair,Deep Gray triangle Mouth,Orange yellow wing
Chick,Dark blue  square glasses,Cambridge blue eye&black long eyebrow,Black red hair,Deep Orange square Mouth,Violet front shape wing
Hummingbird,Black Hat,Light cyan  eye&orange long eyebrow,Above color crown,Orange short Mouth,Black rhomboid wing
Oriole,Yellow Hat,Black eye&deep orange eyebrow,Blue long hair,Deep Golden triangle Mouth,Blue front shape wing 
Petrel,Deep yellow arch Hat,Small black eye&long eyebrow,Cyan punk,Pale gold Palegreen,Black trapeziod wing  
Hornbill,Blue trapezoid  Hat,White eye&black long eyebrow,Blue punk,Black pink Mouth,Agree sector wing
Blue Bird,Black pink Hat,Black eye&long eyebrow,Orange short hair,Pale red Mouth,Red wing
Oriole,Black necklace,Black eye&pink eyebrow,Yellow braid,Orange triangle big Mouth,Agree wing
Swallow,Brow hat,Small black eye&orange round eyebrow,Light cyan hair,Black red long Mouth,Agree wing
Crow,Dark orange necklace,Black eye&round eyebrow,Black broken,Pale red Mouth,Dark cyan wing 
Seagull,Orange yellow Hat,Black white eye&long eyebrow,Pink broken,Deep Orange square Mouth,Violet rhomboid wing
Magpie,Dark orange necklace,Black eye&round eyebrow,Green braid,Deep Gray triangle Mouth,Iridescence wing
Thrush,Red black round glasses,Black red eye&A round eyebrow,Black red hair,Orange short Mouth,Colours sector wing
Blue Bird,Pink  trapezoid  Hat,Small black eye&black long eyebrow,Light cyan hair,Black pink Mouth,Orange yellow wing
Hornbill,Green Hat,Small black eye&black long eyebrow,Red short hair,Black yellow long Mouth,Colours wing 
Vulture,Orange black polygon Hat,Black whiteeye&round eyebrow,Orange hairdo,Light orange short Mouth,Blue trapeziod wing 
Duck,Violet red polygon Hat,Light cyan eye&pink eyebrow,Deep red Curly,Light orange Mouth,Dark blue  wing 
Crow,Orange Violet square glasses,Black eye&deep orange eyebrow,Black short hair,Blue small Mouth,Red rhomboid wing
Pelican,Pink square glasses,Big black eye&long eyebrow,Black red hair,Pale gold Palegreen,Blue rhomboid wing
Magpie,Dark orange necklace,Jet black eye&long eyebrow,Black long hair,Light yellow short Mouth,Blue trapeziod wing 
